responsibility,duration,location
Desarrollador de Software,ene 2018 – actualidad,Null
Senior Android Developer,feb 2015 – dic 2017,Null
Gerente general,ene 2014 – feb 2015,Null
Apoyo trámites PQR,oct 2013 – ene 2014,Null
Ingeniero de sistemas,nov 2020 – actualidad,Null
Ingeniero de sistemas,feb 2015 – actualidad,Null
Ingeniero de sistemas,jun 2015 – dic 2015,Null
Gerente,ago 2014 – dic 2015,Null
Ingeniero de sistemas,may 2014 – ago 2014,Null
Ingeniero de sistemas,abr 2013 – abr 2014,Null
Ingeniero de sistemas,oct 2011 – feb 2014,Null
Administrador de bases de datos,nov 2010 – dic 2012,Null
Asitente Administrativo,feb 2010 – nov 2010,Null
Editor Asociado Revista MVZ Córdoba,may 2009 – dic 2009,Null
Gerente General,ene 2008 – may 2008,Null
"Nombre de la empresa
Liceo Del Caribe",2008 – actualidad,Null
Software Developer,mar 2007 – actualidad,Null
Consultor Senior Metasolv,ago 2013 – actualidad,Null
Desarrollador Java (UIM / Metasolv),ene 2018 – actualidad,Null
Desarrollador Java,3 años y 6 meses,Null
Programador,oct 2018 – actualidad,Null
Profesional de soluciones estandar nivel 2,sept 2017 – jun 2018,Null
Desarrollador de Software,jun 2015 – sept 2017,Null
Diseño del sitio web para la promocion de fajas,oct 2014 – jun 2015,Null
Diseño del sitio web y radio online,ago 2013 – oct 2014,Null
Diseñador y desarrollador del Software de Rifas,may 2013 – actualidad,Null
Desarrollador de Software,oct 2014 – actualidad,Null
Diseño de un sitio web para el informe de Gestion de la alcaldia,feb 2015 – mar 2015,Null
Capacitador en Medios y Nuevas Tecnologias de la Informacion y las Comunicaciones,ene 2015 – feb 2015,Null
Diseño del sitio web y radio online,nov 2013 – dic 2013,Null
Capacitador en Medios y Nuevas Tecnologias de la Informacion y las Comunicaciones,ene 2008 – sept 2013,Null
FullStack Engineer,abr 2012 – may 2012,Null
Java Developer,jun 2010 – ago 2010,Null
Analista de desarrollo,sept 2008 – oct 2008,Null
Development Engineer,nov 2007,Null
Development Engineer,mar 2020 – actualidad,Null
Software Development,ene 2019 – mar 2020,Null
Software Development,abr 2018 – ene 2019,Null
Software Development,ago 2016 – abr 2018,Null
Founding Member,may 2014 – jun 2016,Null
Acting CEO,oct 2013 – may 2014,Null
Technological Advisor,mar 2013 – nov 2013,Null
Coordinador Programa Analisis y Desarrollo de Sistemas de Información,ago 2012 – feb 2013,Null
Tecnico Desarrollador,nov 2018 – actualidad,Null
Analista Desarrollador De Software,sept 2018 – actualidad,Null
Desarrollador de software,ago 2010 – actualidad,Null
Director de Sistemas y Tecnología,may 2009 – jul 2010,Null
Coordinador de Base de datos y Aplicaciones Web,ene 2008 – jun 2008,Null
Auxiliar de Sistemas,dic 2020 – actualidad,Null
Auxiliar administrativo,jun 2020 – sept 2020,Null
ANALISTA DE SISTEMAS,mar 2016 – actualidad,Null
Auxiliar de sistemas,ene 2012 – dic 2015,Null
Administrador,abr 2016 – actualidad,Null
Auxiliar de Virtualidad,may 2009 – ago 2017,Null
Analista de sistema,ene 2016 – actualidad,Null
Desarrollador web,ago 2012 – ene 2016,Null
Docencia,ene 2017 – actualidad,Null
Catedrático universitario,mar 2015 – oct 2016,Null
Ingeniero de desarrollo,7 años y 5 meses,Null
Gerente Propietario,5 años y 5 meses,Null
Desarrollador web,7 años y 5 meses,Null
Técnico,jun 2015 – actualidad,Null
Profesor,ago 2014 – abr 2015,Null
Ingeniero de desarrollo,10 meses,Null
Desarrollador de back-end Freelancer,ago 2015 – actualidad,Null
Producción de Multimedia,feb 2019 – jun 2020,Null
Desarrollador de sitio web,jun 2013 – ene 2014,Null
Desarrollador Web back-end y front-end,ene 2006 – actualidad,Null
Desarrollador App Android,ago 2019 – oct 2019,Null
Desarrollador Web Back-end y Front-end,feb 2018 – nov 2018,Null
Desarrollador Web back-end y front-end,ene 2017 – nov 2018,Null
Ingeniera de sistemas,mar 2021 – actualidad,Null
Asistente técnico para el desarrollo de un geoportal,jul 2020 – dic 2020,Null
Tecnico Soporte on site nivel 1,feb 2020 – sept 2020,Null
Ingeniero de soporte,oct 2019 – dic 2019,Null
Ingeniero de sistemas,feb 2019 – nov 2019,Null
Ingenieria de software nivel 1,ago 2017 – dic 2018,Null
Desarrollador web junior y soporte,ene 2016 – dic 2018,Null
Desarrollador web,abr 2016 – may 2017,Null
Desarrollador web (prácticas),abr 2016 – dic 2019,Null
Docente,ene 2015 – oct 2015,Null
Docencia,dic 2020 – actualidad,Null
Funcionario de Sistemas,nov 2019 – dic 2020,Null
Desarrollador web,ene 2020 – actualidad,Null
Coordinador de Instalaciones,may 2021 – actualidad,Null
Ingeniero de sistemas,dic 2019 – mar 2020,Null
Ingeniero jefe de sistemas,oct 2019 – nov 2019,Null
Analista de soporte de aplicaciones,jun 2018 – nov 2018,Null
Profesional Administrativo Cadena de Suministro,jun 2010 – actualidad,Null
Desarrollador Web,may 2006 – jun 2010,Null
Ingeniero de sistemas,nov 2020 – actualidad,Null
Desarrollador,mar 2020 – ago 2020,Null
